GT_Título,LLM_Título,Nível_GT,Nível_LLM,Similaridade,Caminho_GT,Caminho_LLM,Tamanho_GT,Tamanho_LLM
Cachier and Precog,Relaxation measurements,Nível 3,Nível 2,0.611,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,649,699
Cachier and Precog,Relaxation measurements,Nível 2,Nível 2,0.611,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,649,699
Cachier and Precog,Relaxation measurements,Nível 1,Nível 2,0.611,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,649,699
Cachier and Precog,Two-dimensional NMR measurements,Nível 3,Nível 2,0.6016,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,649,780
Cachier and Precog,Two-dimensional NMR measurements,Nível 2,Nível 2,0.6016,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,649,780
Cachier and Precog,Two-dimensional NMR measurements,Nível 1,Nível 2,0.6016,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,649,780
Conclusions,Two-dimensional NMR measurements,Nível 2,Nível 2,0.59,root > Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,559,780
Conclusions,Two-dimensional NMR measurements,Nível 1,Nível 2,0.59,Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,559,780
Conclusions,Relaxation measurements,Nível 2,Nível 2,0.589,root > Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,559,699
Conclusions,Relaxation measurements,Nível 1,Nível 2,0.589,Conclusions,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,559,699
Deep Learning Packages,Future research directions,Nível 3,Nível 2,0.588,root > Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,1025,439
Deep Learning Packages,Future research directions,Nível 2,Nível 2,0.588,Deep Learning Optimization at the Edge > Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,1025,439
Deep Learning Packages,Future research directions,Nível 1,Nível 2,0.588,Deep Learning Packages,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,1025,439
Cachier and Precog,References,Nível 3,Nível 2,0.5845,root > Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,649,8779
Cachier and Precog,References,Nível 2,Nível 2,0.5845,Edge Computing Systems and Tools > Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,649,8779
Cachier and Precog,References,Nível 1,Nível 2,0.5845,Cachier and Precog,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > References,649,8779
Multi-domain Management and Cooperation,Declaration,Nível 4,Nível 2,0.584,root > Key Design Issues > Mobility Support > Multi-domain Management and Cooperation,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Declaration,127,147
Multi-domain Management and Cooperation,Declaration,Nível 3,Nível 2,0.584,Key Design Issues > Mobility Support > Multi-domain Management and Cooperation,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Declaration,127,147
Multi-domain Management and Cooperation,Declaration,Nível 2,Nível 2,0.584,Mobility Support > Multi-domain Management and Cooperation,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Declaration,127,147
Multi-domain Management and Cooperation,Declaration,Nível 1,Nível 2,0.584,Multi-domain Management and Cooperation,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Declaration,127,147
Comparative Study,Two-dimensional NMR measurements,Nível 3,Nível 2,0.5835,root > Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,348,780
Comparative Study,Two-dimensional NMR measurements,Nível 2,Nível 2,0.5835,Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,348,780
Comparative Study,Two-dimensional NMR measurements,Nível 1,Nível 2,0.5835,Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Two-dimensional NMR measurements,348,780
Comparative Study,Future research directions,Nível 3,Nível 2,0.5825,root > Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,348,439
FPGA-based Hardware,Relaxation measurements,Nível 4,Nível 2,0.5825,root > Deep Learning Optimization at the Edge > Hardware System > FPGA-based Hardware,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,251,699
Comparative Study,Future research directions,Nível 2,Nível 2,0.5825,Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,348,439
Comparative Study,Future research directions,Nível 1,Nível 2,0.5825,Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Future research directions,348,439
FPGA-based Hardware,Relaxation measurements,Nível 3,Nível 2,0.5825,Deep Learning Optimization at the Edge > Hardware System > FPGA-based Hardware,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,251,699
FPGA-based Hardware,Relaxation measurements,Nível 2,Nível 2,0.5825,Hardware System > FPGA-based Hardware,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,251,699
FPGA-based Hardware,Relaxation measurements,Nível 1,Nível 2,0.5825,FPGA-based Hardware,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > Relaxation measurements,251,699
Comparative Study,Design and improvements in LWD-NMR,Nível 3,Nível 3,0.5767,root > Open Source Edge Computing Projects > Comparative Study,A review on the applications of nuclear magnetic resonance (NMR) in the oil and gas industry: laboratory and field-scale measurements > NMR applications in field scale > Design and improvements in LWD-NMR,348,1620
