GT_Título,LLM_Título,Nível_GT,Nível_LLM,Similaridade,Caminho_GT,Caminho_LLM,Tamanho_GT,Tamanho_LLM
Breast cancer,8.2. Automated Fluid Identification,Nível 4,Nível 3,0.692,root > Applications of graph deep learning \\ in digital pathology > Cell-graph representation > Breast cancer,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.2. Automated Fluid Identification,840,94
Breast cancer,8.2. Automated Fluid Identification,Nível 3,Nível 3,0.692,Applications of graph deep learning \\ in digital pathology > Cell-graph representation > Breast cancer,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.2. Automated Fluid Identification,840,94
Breast cancer,8.2. Automated Fluid Identification,Nível 2,Nível 3,0.692,Cell-graph representation > Breast cancer,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.2. Automated Fluid Identification,840,94
Breast cancer,8.2. Automated Fluid Identification,Nível 1,Nível 3,0.692,Breast cancer,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.2. Automated Fluid Identification,840,94
GCN,8.3. Physics-Informed Neural Networks (PINNs),Nível 4,Nível 3,0.6836,root > Graph representation learning \\ in digital pathology: Background > Graph neural networks models > GCN,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.3. Physics-Informed Neural Networks (PINNs),260,130
Breast cancer,8.1. Data-Driven Inversion and SNR Enhancement,Nível 4,Nível 3,0.6836,root > Applications of graph deep learning \\ in digital pathology > Cell-graph representation > Breast cancer,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.1. Data-Driven Inversion and SNR Enhancement,840,148
GCN,8.3. Physics-Informed Neural Networks (PINNs),Nível 3,Nível 3,0.6836,Graph representation learning \\ in digital pathology: Background > Graph neural networks models > GCN,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.3. Physics-Informed Neural Networks (PINNs),260,130
GCN,8.3. Physics-Informed Neural Networks (PINNs),Nível 2,Nível 3,0.6836,Graph neural networks models > GCN,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.3. Physics-Informed Neural Networks (PINNs),260,130
GCN,8.3. Physics-Informed Neural Networks (PINNs),Nível 1,Nível 3,0.6836,GCN,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.3. Physics-Informed Neural Networks (PINNs),260,130
Breast cancer,8.1. Data-Driven Inversion and SNR Enhancement,Nível 3,Nível 3,0.6836,Applications of graph deep learning \\ in digital pathology > Cell-graph representation > Breast cancer,Applications of Nuclear Magnetic Resonance (NMR) in the Oil and Gas Industries > 8. Digital Oilfield: Integration of AI and Machine Learning > 8.1. Data-Driven Inversion and SNR Enhancement,840,148
